state,state_abbrev,bariatric_all_10000,bariatric_rate,back_female_1000,back_male_1000,back_female_rate,back_male_rate,coronary_female_1000,coronary_male_1000,coronary_female_rate,coronary_male_rate,hip_female_1000,hip_male_1000,hip_female_rate,hip_male_rate,knee_female_1000,knee_male_1000,knee_female_rate,knee_male_rate
Alabama,AL,46.1,0.000461,5.5,5.9,0.0055,0.0059,1.7,5.4,0.0017,0.0054,4,2.9,0.004,0.0029,9.9,7.4,0.0099,0.0074
Alaska,AK,35.8,0.000358,6.6,6.8,0.0066,0.0068,0.8,2.8,0.0008,0.0028,6,4.1,0.006,0.0041,8.7,5.8,0.0087,0.0058
Arizona,AZ,30.8,0.000308,5.2,5.4,0.0052,0.0054,1,3.1,0.001,0.0031,5.3,4,0.0053,0.004,10.3,7.7,0.0103,0.0077
Arkansas,AR,21.5,0.000215,3.9,3.9,0.0039,0.0039,1.9,5.8,0.0019,0.0058,3.8,2.6,0.0038,0.0026,9.6,7.2,0.0096,0.0072
California,CA,27.2,0.000272,4,4.3,0.004,0.0043,0.8,2.6,0.0008,0.0026,4.2,3.1,0.0042,0.0031,7.8,5.3,0.0078,0.0053
Colorado,CO,26.8,0.000268,6.2,6.4,0.0062,0.0064,0.6,2.3,0.0006,0.0023,6.3,4.7,0.0063,0.0047,11.5,8.6,0.0115,0.0086
Connecticut,CT,44.3,0.000443,3,3.3,0.003,0.0033,1,3.5,0.001,0.0035,5.5,4.2,0.0055,0.0042,8.5,6.1,0.0085,0.0061
Delaware,DE,31.7,0.000317,5.2,6,0.0052,0.006,1.2,4,0.0012,0.004,4.8,4.1,0.0048,0.0041,11.5,7.8,0.0115,0.0078
District of Columbia,DC,7.3,0.000073,3.7,4.7,0.0037,0.0047,0.8,2,0.0008,0.002,5.7,3.7,0.0057,0.0037,8.2,5,0.0082,0.005
Florida,FL,32.1,0.000321,4.8,5.3,0.0048,0.0053,1.2,3.7,0.0012,0.0037,5,3.8,0.005,0.0038,8.7,6.7,0.0087,0.0067
Georgia,GA,20.1,0.000201,5.3,5.6,0.0053,0.0056,1.3,4,0.0013,0.004,4.3,3.4,0.0043,0.0034,9.6,7.2,0.0096,0.0072
Hawaii,HI,0,0,1.7,1.9,0.0017,0.0019,0.7,2.4,0.0007,0.0024,3.1,1.6,0.0031,0.0016,4.7,3.6,0.0047,0.0036
Idaho,ID,43.7,0.000437,5.6,5.9,0.0056,0.0059,1,3.3,0.001,0.0033,6.2,4.8,0.0062,0.0048,13.5,9.7,0.0135,0.0097
Illinois,IL,26.5,0.000265,3.7,4.3,0.0037,0.0043,1.4,4.1,0.0014,0.0041,5.3,4,0.0053,0.004,10.2,7.4,0.0102,0.0074
Indiana,IN,43.1,0.000431,4.3,4.7,0.0043,0.0047,1.5,4.5,0.0015,0.0045,4.9,4,0.0049,0.004,11,7.8,0.011,0.0078
Iowa,IA,25.7,0.000257,4.1,4.4,0.0041,0.0044,1.4,3.7,0.0014,0.0037,6,4.7,0.006,0.0047,13.2,9.7,0.0132,0.0097
Kansas,KS,31.4,0.000314,5.3,5.4,0.0053,0.0054,1.6,4.6,0.0016,0.0046,4.9,4.3,0.0049,0.0043,13.2,9.7,0.0132,0.0097
Kentucky,KY,47.3,0.000473,3.7,3.9,0.0037,0.0039,1.5,4.1,0.0015,0.0041,4.6,3.1,0.0046,0.0031,9.5,7,0.0095,0.007
Louisiana,LA,36.2,0.000362,4.8,5.3,0.0048,0.0053,1.9,5.2,0.0019,0.0052,3.4,2.4,0.0034,0.0024,9.3,6.5,0.0093,0.0065
Maine,ME,30.8,0.000308,2.6,2.3,0.0026,0.0023,1.3,3.6,0.0013,0.0036,4.9,3.6,0.0049,0.0036,9.3,6.4,0.0093,0.0064
Maryland,MD,17.3,0.000173,4.3,4.8,0.0043,0.0048,1.1,3.7,0.0011,0.0037,4.8,3.5,0.0048,0.0035,9.5,6.8,0.0095,0.0068
Massachusetts,MA,35.5,0.000355,3.4,3.8,0.0034,0.0038,1,3.6,0.001,0.0036,5.2,3.7,0.0052,0.0037,8.8,6.3,0.0088,0.0063
Michigan,MI,48.7,0.000487,4.9,5.3,0.0049,0.0053,1.5,4.2,0.0015,0.0042,5.4,4.3,0.0054,0.0043,11,7.8,0.011,0.0078
Minnesota,MN,45,0.00045,4.2,4.4,0.0042,0.0044,0.9,3.2,0.0009,0.0032,6.9,5.4,0.0069,0.0054,13,9.1,0.013,0.0091
Mississippi,MS,26,0.00026,3.8,4.5,0.0038,0.0045,2,5.1,0.002,0.0051,3.5,2.7,0.0035,0.0027,8.9,6.4,0.0089,0.0064
Missouri,MO,42.3,0.000423,4.3,4.8,0.0043,0.0048,1.6,4.2,0.0016,0.0042,4.3,3.7,0.0043,0.0037,11.5,8.3,0.0115,0.0083
Montana,MT,44.7,0.000447,4.5,4.8,0.0045,0.0048,1.1,3.4,0.0011,0.0034,6.7,4.6,0.0067,0.0046,12.3,8.6,0.0123,0.0086
Nebraska,NE,46.6,0.000466,5.5,4.8,0.0055,0.0048,1.5,4,0.0015,0.004,6.1,4.6,0.0061,0.0046,13.9,10,0.0139,0.01
Nevada,NV,50.1,0.000501,5.7,5.2,0.0057,0.0052,1.2,3.3,0.0012,0.0033,4.5,3.2,0.0045,0.0032,7.6,5.6,0.0076,0.0056
New Hampshire,NH,18.5,0.000185,3.1,3.3,0.0031,0.0033,1.4,3.7,0.0014,0.0037,5.3,3.6,0.0053,0.0036,9,6.9,0.009,0.0069
New Jersey,NJ,38.6,0.000386,2.6,3.3,0.0026,0.0033,1.2,4,0.0012,0.004,4.4,3.5,0.0044,0.0035,8,5.4,0.008,0.0054
New Mexico,NM,14.5,0.000145,3.3,3.5,0.0033,0.0035,0.8,2.3,0.0008,0.0023,3.9,2.8,0.0039,0.0028,8.2,5.8,0.0082,0.0058
New York,NY,27.9,0.000279,2.7,3.3,0.0027,0.0033,1,3.2,0.001,0.0032,4.6,3.7,0.0046,0.0037,7.4,4.7,0.0074,0.0047
North Carolina,NC,20.3,0.000203,4.6,5.2,0.0046,0.0052,1.2,3.8,0.0012,0.0038,4.6,3.6,0.0046,0.0036,9.7,7.2,0.0097,0.0072
North Dakota,ND,62.7,0.000627,5,3.9,0.005,0.0039,1.7,4.9,0.0017,0.0049,7,5.1,0.007,0.0051,13.2,9.2,0.0132,0.0092
Ohio,OH,35.5,0.000355,4.6,5,0.0046,0.005,1.4,4.1,0.0014,0.0041,5.2,3.8,0.0052,0.0038,10.8,7.7,0.0108,0.0077
Oklahoma,OK,36,0.00036,5.2,5.5,0.0052,0.0055,1.7,4.6,0.0017,0.0046,4.3,3.1,0.0043,0.0031,11.3,8.6,0.0113,0.0086
Oregon,OR,48.5,0.000485,5.3,4.9,0.0053,0.0049,1.1,3.6,0.0011,0.0036,5.5,3.7,0.0055,0.0037,10,6.7,0.01,0.0067
Pennsylvania,PA,35.9,0.000359,3.7,4.4,0.0037,0.0044,1.3,3.9,0.0013,0.0039,4.8,3.7,0.0048,0.0037,10.3,6.9,0.0103,0.0069
Rhode Island,RI,24.3,0.000243,3.5,4.1,0.0035,0.0041,0.9,2.8,0.0009,0.0028,5.4,3.1,0.0054,0.0031,9.2,7.7,0.0092,0.0077
South Carolina,SC,32.8,0.000328,5.9,6.4,0.0059,0.0064,1.4,4.4,0.0014,0.0044,4.4,3.8,0.0044,0.0038,10.9,8.7,0.0109,0.0087
South Dakota,SD,33.3,0.000333,4.1,4.2,0.0041,0.0042,1.1,3.2,0.0011,0.0032,7,5,0.007,0.005,14.1,10,0.0141,0.01
Tennessee,TN,26.5,0.000265,4.7,4.6,0.0047,0.0046,1.4,4.3,0.0014,0.0043,4.4,3.3,0.0044,0.0033,9.5,6.9,0.0095,0.0069
Texas,TX,41.9,0.000419,5,5.1,0.005,0.0051,1.4,3.9,0.0014,0.0039,3.4,2.6,0.0034,0.0026,9,6.8,0.009,0.0068
Utah,UT,33.6,0.000336,6.4,6.8,0.0064,0.0068,1.1,3.3,0.0011,0.0033,6.5,4.7,0.0065,0.0047,15.9,10.8,0.0159,0.0108
Vermont,VT,12.6,0.000126,2.2,2.5,0.0022,0.0025,0.9,2.7,0.0009,0.0027,5,3.6,0.005,0.0036,7,5.5,0.007,0.0055
Virginia,VA,18.5,0.000185,4.5,4.9,0.0045,0.0049,1.1,3.5,0.0011,0.0035,5.1,3.7,0.0051,0.0037,10.1,7.3,0.0101,0.0073
Washington,WA,33.6,0.000336,4.9,5,0.0049,0.005,1,3.2,0.001,0.0032,5.4,4.1,0.0054,0.0041,9.7,7.5,0.0097,0.0075
West Virginia,WV,27.6,0.000276,3,3.6,0.003,0.0036,1.9,4.6,0.0019,0.0046,3.8,2.5,0.0038,0.0025,8.9,5.4,0.0089,0.0054
Wisconsin,WI,27.5,0.000275,2.9,3.2,0.0029,0.0032,1.4,3.9,0.0014,0.0039,6.1,4.9,0.0061,0.0049,11,8.3,0.011,0.0083
Wyoming,WY,44.8,0.000448,7.7,7.9,0.0077,0.0079,0.9,3.3,0.0009,0.0033,5.7,4.7,0.0057,0.0047,10.7,8.2,0.0107,0.0082
National_Average,,32.8,0.000328,4.3,4.7,0.0043,0.0047,1.3,3.8,0.0013,0.0038,4.8,3.6,0.0048,0.0036,9.7,7,0.0097,0.007
90th_Percentile,,47.3,0.000473,5.9,6.4,0.0059,0.0064,1.7,4.9,0.0017,0.0049,6.5,4.8,0.0065,0.0048,13.2,9.7,0.0132,0.0097
50th_Percentile,,33.3,0.000333,4.5,4.8,0.0045,0.0048,1.2,3.7,0.0012,0.0037,5,3.7,0.005,0.0037,9.7,7.2,0.0097,0.0072
10th_Percentile,,18.5,0.000185,2.7,3.3,0.0027,0.0033,0.8,2.6,0.0008,0.0026,3.8,2.6,0.0038,0.0026,7.8,5.4,0.0078,0.0054