,proc_id,cpt_1,cpt_2,cpt_3,cpt_4,cpt_5,cpt_6,cpt_7,total_cost - mean,patient_cost - mean,Episode Count,carrum_price_1,carrum_price_2,carrum_price_3,carrum_price_4,carrum_price_5,carrum_price_6,carrum_price_7,highest_cost,id,7th-largest,6th-largest,5th-largest,4th-largest,3nd-largest,2nd-largest,largest,final_cost,estimated_paid_amounts
0,0,20680,25295,64721,25290,-999,-999,-999,11728.45,2255.13,1,7025,6900,6900,6900,,,,7025,0,6900,6900,6900,7025,,,,13925,9473.32
1,1,20680,26525,-999,-999,-999,-999,-999,15247.85,2118.2,1,7025,8075,,,,,,8075,1,7025,8075,,,,,,11587.5,13129.65
2,2,20680,27570,-999,-999,-999,-999,-999,2240.22,2170.19,1,7025,4355,,,,,,7025,2,4355,7025,,,,,,9202.5,70.03
3,3,20680,-999,-999,-999,-999,-999,-999,5852.0262,213.4156579,152,7025,,,,,,,7025,3,7025,,,,,,,7025,5638.610542
4,4,20930,20936,22595,22600,22614,63047,63048,220535.19,2774.12,1,,,,,,14300,16560,16560,4,14300,16560,,,,,,23710,217761.07
5,5,20930,20936,22551,-999,-999,-999,-999,25827.50375,1048.318776,1,,,26400,,,,,26400,5,26400,,,,,,,26400,24779.18497
6,6,22551,22552,22554,-999,-999,-999,-999,25827.50375,815.3590476,1,26400,32400,,,,,,32400,6,26400,32400,,,,,,45600,25012.1447
7,7,22551,22552,20936,-999,-999,-999,-999,25827.50375,815.3590476,1,26400,32400,,,,,,32400,7,26400,32400,,,,,,45600,25012.1447
8,8,22551,22552,20937,-999,-999,-999,-999,25827.50375,815.3590476,1,26400,32400,,,,,,32400,8,26400,32400,,,,,,45600,25012.1447
9,9,22551,22552,20930,20936,-999,-999,-999,25827.50375,815.3590476,4,26400,32400,,,,,,32400,9,26400,32400,,,,,,45600,25012.1447
10,10,22551,22552,20930,-999,-999,-999,-999,25827.50375,815.3590476,2,26400,32400,,,,,,32400,10,26400,32400,,,,,,45600,25012.1447
11,11,22551,22552,20931,-999,-999,-999,-999,25827.50375,815.3590476,2,26400,32400,,,,,,32400,11,26400,32400,,,,,,45600,25012.1447
12,12,22551,22552,-999,-999,-999,-999,-999,25827.50375,815.3590476,5,26400,32400,,,,,,32400,12,26400,32400,,,,,,45600,25012.1447
13,13,22551,20936,20930,-999,-999,-999,-999,25827.50375,815.3590476,1,26400,,,,,,,26400,13,26400,,,,,,,26400,25012.1447
14,14,22551,20936,-999,-999,-999,-999,-999,19019.345,1650.533333,3,26400,,,,,,,26400,14,26400,,,,,,,26400,17368.81167
15,15,22551,20937,-999,-999,-999,-999,-999,29661.68,2023.49,1,26400,,,,,,,26400,15,26400,,,,,,,26400,27638.19
16,16,22551,20930,63075,-999,-999,-999,-999,25827.50375,815.3590476,1,26400,,,,,,,26400,16,26400,,,,,,,26400,25012.1447
17,17,22551,20930,20936,20931,-999,-999,-999,25827.50375,815.3590476,1,26400,,,,,,,26400,17,26400,,,,,,,26400,25012.1447
18,18,22551,20930,20936,-999,-999,-999,-999,24967.31,10,3,26400,,,,,,,26400,18,26400,,,,,,,26400,24957.31
19,19,22551,20930,20937,-999,-999,-999,-999,25827.50375,1048.318776,1,26400,,,,,,,26400,19,26400,,,,,,,26400,24779.18497
20,20,22551,20931,-999,-999,-999,-999,-999,29661.68,2023.49,1,26400,,,,,,,26400,20,26400,,,,,,,26400,27638.19
21,21,22551,-999,-999,-999,-999,-999,-999,25827.50375,1198.078601,1,26400,,,,,,,26400,21,26400,,,,,,,26400,24629.42515
23,23,22856,63045,-999,-999,-999,-999,-999,20991.57,654.623,1,,14300,,,,,,14300,23,14300,,,,,,,14300,20336.947
26,26,23410,-999,-999,-999,-999,-999,-999,12948.225,181.93,5,10225,,,,,,,10225,26,10225,,,,,,,10225,12766.295
27,27,23412,29807,-999,-999,-999,-999,-999,42528.92,2641.52,2,10225,11700,,,,,,11700,27,10225,11700,,,,,,16812.5,39887.4
28,28,23412,29822,29826,23410,-999,-999,-999,15133.96875,2030.9004,1,10225,9850,10125,10225,,,,10225,28,9850,10125,10225,10225,,,,20331.25,13103.06835
29,29,23412,29822,-999,-999,-999,-999,-999,14781.275,610.955,4,10225,9850,,,,,,10225,29,9850,10225,,,,,,15150,14170.32
30,30,23412,29823,29826,23410,-999,-999,-999,15133.96875,1692.417,2,10225,9850,10125,10225,,,,10225,30,9850,10125,10225,10225,,,,20331.25,13441.55175
31,31,23412,29823,-999,-999,-999,-999,-999,14674.1,3609.16,2,10225,9850,,,,,,10225,31,9850,10225,,,,,,15150,11064.94
32,32,23412,29826,29822,-999,-999,-999,-999,16406.4,632.81,11,10225,10125,9850,,,,,10225,32,9850,10125,10225,,,,,17750,15773.59
33,33,23412,29826,-999,-999,-999,-999,-999,14674.1,3609.16,1,10225,10125,,,,,,10225,33,10125,10225,,,,,,15287.5,11064.94
34,34,23412,-999,-999,-999,-999,-999,-999,5814.03,74.6475,8,10225,,,,,,,10225,34,10225,,,,,,,10225,5739.3825
35,35,23500,-999,-999,-999,-999,-999,-999,1636.296667,86.178,15,11900,,,,,,,11900,35,11900,,,,,,,11900,1550.118667
36,36,24340,-999,-999,-999,-999,-999,-999,5149.2125,122.7733333,1,11650,,,,,,,11650,36,11650,,,,,,,11650,5026.439167
37,37,24341,64721,26055,-999,-999,-999,-999,1232.03,0,1,10700,6900,6945,,,,,10700,37,6900,6945,10700,,,,,15897.5,1232.03
38,38,24341,-999,-999,-999,-999,-999,-999,5149.2125,122.7733333,4,10700,,,,,,,10700,38,10700,,,,,,,10700,5026.439167
39,39,24342,-999,-999,-999,-999,-999,-999,10833.76333,22.47928571,14,10700,,,,,,,10700,39,10700,,,,,,,10700,10811.28404
40,40,24343,-999,-999,-999,-999,-999,-999,5149.2125,122.7733333,1,10700,,,,,,,10700,40,10700,,,,,,,10700,5026.439167
41,41,24345,-999,-999,-999,-999,-999,-999,5149.2125,122.7733333,1,10700,,,,,,,10700,41,10700,,,,,,,10700,5026.439167
42,42,24346,24344,-999,-999,-999,-999,-999,1100.38,0,1,10700,10700,,,,,,10700,42,10700,10700,,,,,,16050,1100.38
43,43,24346,-999,-999,-999,-999,-999,-999,1100.38,0,1,10700,,,,,,,10700,43,10700,,,,,,,10700,1100.38
44,44,24357,-999,-999,-999,-999,-999,-999,5149.2125,122.7733333,9,10700,,,,,,,10700,44,10700,,,,,,,10700,5026.439167
45,45,24500,-999,-999,-999,-999,-999,-999,2612.362,155.3228571,3,6625,,,,,,,6625,45,6625,,,,,,,6625,2457.039143
46,46,24530,-999,-999,-999,-999,-999,-999,2612.362,155.3228571,7,6625,,,,,,,6625,46,6625,,,,,,,6625,2457.039143
47,47,24538,-999,-999,-999,-999,-999,-999,13891.95,8139.465,2,11700,,,,,,,11700,47,11700,,,,,,,11700,5752.485
48,48,24545,-999,-999,-999,-999,-999,-999,2612.362,155.3228571,1,11700,,,,,,,11700,48,11700,,,,,,,11700,2457.039143
49,49,24560,-999,-999,-999,-999,-999,-999,1887.35,42.395,2,6625,,,,,,,6625,49,6625,,,,,,,6625,1844.955
50,50,24600,-999,-999,-999,-999,-999,-999,2968.085,36.66666667,6,6625,,,,,,,6625,50,6625,,,,,,,6625,2931.418333
51,51,24666,-999,-999,-999,-999,-999,-999,7040.431872,318.8605466,3,13925,,,,,,,13925,51,13925,,,,,,,13925,6721.571325
52,52,25575,-999,-999,-999,-999,-999,-999,2610.223333,152.46875,1,11500,,,,,,,11500,52,11500,,,,,,,11500,2457.754583
53,53,25607,25608,-999,-999,-999,-999,-999,8313.716,69.01764706,3,11500,11500,,,,,,11500,53,11500,11500,,,,,,17250,8244.698353
54,54,25607,25609,20680,-999,-999,-999,-999,8432.77,378.38,1,11500,11500,7025,,,,,11500,54,7025,11500,11500,,,,,19006.25,8054.39
55,55,25607,25609,-999,-999,-999,-999,-999,14345.15,315,3,11500,11500,,,,,,11500,55,11500,11500,,,,,,17250,14030.15
56,56,25607,-999,-999,-999,-999,-999,-999,8313.716,69.01764706,17,11500,,,,,,,11500,56,11500,,,,,,,11500,8244.698353
57,57,25608,-999,-999,-999,-999,-999,-999,19318.926,2409.368125,16,11500,,,,,,,11500,57,11500,,,,,,,11500,16909.55788
58,58,25609,25608,-999,-999,-999,-999,-999,11885.99,7.5,2,11500,11500,,,,,,11500,58,11500,11500,,,,,,17250,11878.49
59,59,25609,64721,-999,-999,-999,-999,-999,8067.2,8.7325,6,11500,6900,,,,,,11500,59,6900,11500,,,,,,14950,8058.4675
60,60,25609,-999,-999,-999,-999,-999,-999,23330.56818,376.0827586,31,11500,,,,,,,11500,60,11500,,,,,,,11500,22954.48542
61,61,26055,-999,-999,-999,-999,-999,-999,4246.150833,69.12311475,124,6945,,,,,,,6945,61,6945,,,,,,,6945,4177.027718
62,62,26111,-999,-999,-999,-999,-999,-999,4218.54,42.892,3,6900,,,,,,,6900,62,6900,,,,,,,6900,4175.648
63,63,26113,-999,-999,-999,-999,-999,-999,4218.54,42.892,1,6900,,,,,,,6900,63,6900,,,,,,,6900,4175.648
64,64,26115,-999,-999,-999,-999,-999,-999,4218.54,42.892,17,6900,,,,,,,6900,64,6900,,,,,,,6900,4175.648
65,65,26116,-999,-999,-999,-999,-999,-999,3208.76125,122.6679167,24,6900,,,,,,,6900,65,6900,,,,,,,6900,3086.093333
66,66,26123,-999,-999,-999,-999,-999,-999,7778.5925,120.7605882,17,7975,,,,,,,7975,66,7975,,,,,,,7975,7657.831912
67,67,26520,20680,-999,-999,-999,-999,-999,24646.89,97.695,1,8075,7025,,,,,,8075,67,7025,8075,,,,,,11587.5,24549.195
68,68,26520,26525,-999,-999,-999,-999,-999,24646.89,97.695,3,8075,8075,,,,,,8075,68,8075,8075,,,,,,12112.5,24549.195
69,69,26520,-999,-999,-999,-999,-999,-999,24646.89,97.695,2,8075,,,,,,,8075,69,8075,,,,,,,8075,24549.195
70,70,26540,-999,-999,-999,-999,-999,-999,4904.15,378.63625,9,11000,,,,,,,11000,70,11000,,,,,,,11000,4525.51375
71,71,26600,-999,-999,-999,-999,-999,-999,2083.501429,242.4476471,34,7625,,,,,,,7625,71,7625,,,,,,,7625,1841.053782
72,72,26605,-999,-999,-999,-999,-999,-999,2610.223333,152.46875,8,7625,,,,,,,7625,72,7625,,,,,,,7625,2457.754583
73,73,26608,-999,-999,-999,-999,-999,-999,5542.256667,322.4445455,12,7625,,,,,,,7625,73,7625,,,,,,,7625,5219.812122
74,74,26615,26608,-999,-999,-999,-999,-999,1172.46,360.53,1,7625,7625,,,,,,7625,74,7625,7625,,,,,,11437.5,811.93
75,75,26615,-999,-999,-999,-999,-999,-999,8701.0025,233.177,10,7625,,,,,,,7625,75,7625,,,,,,,7625,8467.8255
76,76,26860,-999,-999,-999,-999,-999,-999,5750.425,592.82,3,8600,,,,,,,8600,76,8600,,,,,,,8600,5157.605
77,77,27130,-999,-999,-999,-999,-999,-999,28236.054,210.3296154,26,21990,,,,,,,21990,77,21990,,,,,,,21990,28025.72438
79,79,27520,-999,-999,-999,-999,-999,-999,3761.51,53.33333333,6,11400,,,,,,,11400,79,11400,,,,,,,11400,3708.176667
80,80,27570,-999,-999,-999,-999,-999,-999,5203.42,65.80888889,18,4355,,,,,,,4355,80,4355,,,,,,,4355,5137.611111
81,81,27650,-999,-999,-999,-999,-999,-999,16177.66125,197.0297297,37,11650,,,,,,,11650,81,11650,,,,,,,11650,15980.63152
82,82,27659,28119,-999,-999,-999,-999,-999,3411.684286,298.878,2,10200,7500,,,,,,10200,82,7500,10200,,,,,,13950,3112.806286
83,83,27698,29898,-999,-999,-999,-999,-999,7314.465,342.885,8,10200,7600,,,,,,10200,83,7600,10200,,,,,,14000,6971.58
84,84,27698,-999,-999,-999,-999,-999,-999,5134.38,15.565,10,10200,,,,,,,10200,84,10200,,,,,,,10200,5118.815
85,85,27814,-999,-999,-999,-999,-999,-999,4231.485,152.3292857,14,11700,,,,,,,11700,85,11700,,,,,,,11700,4079.155714
86,86,27822,-999,-999,-999,-999,-999,-999,4231.485,152.3292857,7,12000,,,,,,,12000,86,12000,,,,,,,12000,4079.155714
87,87,27822,27814,-999,-999,-999,-999,-999,4231.485,152.3292857,1,12000,11700,,,,,,12000,87,11700,12000,,,,,,17850,4079.155714
88,88,28060,-999,-999,-999,-999,-999,-999,3429.22,228.564,10,7500,,,,,,,7500,88,7500,,,,,,,7500,3200.656
89,89,28080,-999,-999,-999,-999,-999,-999,6081.521111,143.3766667,30,6900,,,,,,,6900,89,6900,,,,,,,6900,5938.144444
90,90,28119,27650,-999,-999,-999,-999,-999,16177.66125,197.0297297,3,7500,11650,,,,,,11650,90,7500,11650,,,,,,15400,15980.63152
91,91,28119,-999,-999,-999,-999,-999,-999,3411.684286,298.878,10,7500,,,,,,,7500,91,7500,,,,,,,7500,3112.806286
92,92,28285,28292,-999,-999,-999,-999,-999,4421.385,145.994,2,7575,8300,,,,,,8300,92,7575,8300,,,,,,12087.5,4275.391
93,93,28285,28297,-999,-999,-999,-999,-999,4421.385,145.994,1,7575,8300,,,,,,8300,93,7575,8300,,,,,,12087.5,4275.391
94,94,28285,28298,-999,-999,-999,-999,-999,4421.385,145.994,1,7575,8300,,,,,,8300,94,7575,8300,,,,,,12087.5,4275.391
95,95,28285,28080,-999,-999,-999,-999,-999,5089.33,25,3,7575,6900,,,,,,7575,95,6900,7575,,,,,,11025,5064.33
96,96,28285,20680,28296,-999,-999,-999,-999,4421.385,145.994,1,7575,7025,8300,,,,,8300,96,7025,7575,8300,,,,,13843.75,4275.391
97,97,28285,27659,-999,-999,-999,-999,-999,5089.33,25,1,7575,10200,,,,,,10200,97,7575,10200,,,,,,13987.5,5064.33
98,98,28285,-999,-999,-999,-999,-999,-999,6639.479231,98.04216216,74,7575,,,,,,,7575,98,7575,,,,,,,7575,6541.437069
99,99,28285,28286,-999,-999,-999,-999,-999,6639.479231,98.04216216,4,7575,7575,,,,,,7575,99,7575,7575,,,,,,11362.5,6541.437069
100,100,28286,-999,-999,-999,-999,-999,-999,6639.479231,98.04216216,2,7575,,,,,,,7575,100,7575,,,,,,,7575,6541.437069
101,101,28292,-999,-999,-999,-999,-999,-999,8865.183333,186.6176923,13,8300,,,,,,,8300,101,8300,,,,,,,8300,8678.565641
102,102,28296,28285,-999,-999,-999,-999,-999,3028.766667,189.0075,17,8300,7575,,,,,,8300,102,7575,8300,,,,,,12087.5,2839.759167
103,103,28296,28292,-999,-999,-999,-999,-999,3165.37,748.88,3,8300,8300,,,,,,8300,103,8300,8300,,,,,,12450,2416.49
104,104,28296,-999,-999,-999,-999,-999,-999,7520.242632,231.3035938,64,8300,,,,,,,8300,104,8300,,,,,,,8300,7288.939038
105,105,28297,28285,28080,-999,-999,-999,-999,13191.83,1334.2,1,8300,7575,6900,,,,,8300,105,6900,7575,8300,,,,,13812.5,11857.63
106,106,28297,28298,28285,-999,-999,-999,-999,4421.385,145.994,1,8300,8300,7575,,,,,8300,106,7575,8300,8300,,,,,14343.75,4275.391
107,107,28297,-999,-999,-999,-999,-999,-999,14866.81,392.3428571,7,8300,,,,,,,8300,107,8300,,,,,,,8300,14474.46714
108,108,28298,28296,-999,-999,-999,-999,-999,12155.4,88.62,3,8300,8300,,,,,,8300,108,8300,8300,,,,,,12450,12066.78
109,109,28299,28285,-999,-999,-999,-999,-999,4421.385,145.994,5,8300,7575,,,,,,8300,109,7575,8300,,,,,,12087.5,4275.391
110,110,28299,28296,-999,-999,-999,-999,-999,12155.4,88.62,4,8300,8300,,,,,,8300,110,8300,8300,,,,,,12450,12066.78
111,111,28299,-999,-999,-999,-999,-999,-999,4602.6,235.4746154,13,8300,,,,,,,8300,111,8300,,,,,,,8300,4367.125385
112,112,28415,27650,-999,-999,-999,-999,-999,16177.66125,197.0297297,1,11800,11650,,,,,,11800,112,11650,11800,,,,,,17625,15980.63152
113,113,28470,-999,-999,-999,-999,-999,-999,1537.891,116.8653659,41,7625,,,,,,,7625,113,7625,,,,,,,7625,1421.025634
114,114,28485,28285,-999,-999,-999,-999,-999,6639.479231,98.04216216,1,7625,7575,,,,,,7625,114,7575,7625,,,,,,11412.5,6541.437069
115,115,28485,-999,-999,-999,-999,-999,-999,21370.766,1241.267895,19,7625,,,,,,,7625,115,7625,,,,,,,7625,20129.49811
116,116,28715,-999,-999,-999,-999,-999,-999,31227.65,10,2,11900,,,,,,,11900,116,11900,,,,,,,11900,31217.65
117,117,28715,28740,-999,-999,-999,-999,-999,31227.65,10,2,11900,11900,,,,,,11900,117,11900,11900,,,,,,17850,31217.65
118,118,28725,-999,-999,-999,-999,-999,-999,31227.65,10,3,11900,,,,,,,11900,118,11900,,,,,,,11900,31217.65
119,119,28730,-999,-999,-999,-999,-999,-999,31227.65,10,5,11900,,,,,,,11900,119,11900,,,,,,,11900,31217.65
120,120,28730,28725,-999,-999,-999,-999,-999,31227.65,10,2,11900,11900,,,,,,11900,120,11900,11900,,,,,,17850,31217.65
121,121,28740,28730,-999,-999,-999,-999,-999,31227.65,10,9,11900,11900,,,,,,11900,121,11900,11900,,,,,,17850,31217.65
122,122,28740,-999,-999,-999,-999,-999,-999,15688.415,71.7125,4,11900,,,,,,,11900,122,11900,,,,,,,11900,15616.7025
123,123,28750,28298,-999,-999,-999,-999,-999,5901.67,194.095,4,11900,8300,,,,,,11900,123,8300,11900,,,,,,16050,5707.575
124,124,28750,20680,-999,-999,-999,-999,-999,4375.31,0,3,11900,7025,,,,,,11900,124,7025,11900,,,,,,15412.5,4375.31
125,125,28750,28285,-999,-999,-999,-999,-999,19277.87,7,11,11900,7575,,,,,,11900,125,7575,11900,,,,,,15687.5,19270.87
126,126,28750,28755,-999,-999,-999,-999,-999,3375.31,446.32,1,11900,11900,,,,,,11900,126,11900,11900,,,,,,17850,2928.99
127,127,28750,-999,-999,-999,-999,-999,-999,6432.7225,319.5616667,12,11900,,,,,,,11900,127,11900,,,,,,,11900,6113.160833
128,128,28755,28285,28286,-999,-999,-999,-999,9708.88,230,1,11900,7575,7575,,,,,11900,128,7575,7575,11900,,,,,17581.25,9478.88
129,129,28755,28285,-999,-999,-999,-999,-999,9708.88,230,1,11900,7575,,,,,,11900,129,7575,11900,,,,,,15687.5,9478.88
130,130,28755,-999,-999,-999,-999,-999,-999,6432.7225,319.5616667,2,11900,,,,,,,11900,130,11900,,,,,,,11900,6113.160833
131,131,28760,-999,-999,-999,-999,-999,-999,29960.03,2995.97,1,11900,,,,,,,11900,131,11900,,,,,,,11900,26964.06
132,132,29806,29807,29822,-999,-999,-999,-999,19410.3,150,1,11700,11700,9850,,,,,11700,132,9850,11700,11700,,,,,20012.5,19260.3
133,133,29806,29807,-999,-999,-999,-999,-999,14701.035,367.7233333,8,11700,11700,,,,,,11700,133,11700,11700,,,,,,17550,14333.31167
134,134,29806,29822,-999,-999,-999,-999,-999,9981.54125,48.41506849,2,11700,9850,,,,,,11700,134,9850,11700,,,,,,16625,9933.126182
135,135,29806,29823,-999,-999,-999,-999,-999,14554.82,1455.48,1,11700,9850,,,,,,11700,135,9850,11700,,,,,,16625,13099.34
136,136,29806,29826,29807,-999,-999,-999,-999,12210.06857,1143.296296,2,11700,10125,11700,,,,,11700,136,10125,11700,11700,,,,,20081.25,11066.77227
